"Type.of.vehicle" "Single.Journey" "Return.Journey" "Monthly.Pass" "Local.Commercial.Vehicle" "tollbooth" "route" "concession" "Effective.Date" "Revision.Due.Date" "location" "Stretch" "Min.Road.Length" "Max.Road.Length" "funding.Model" "Capital.cost" "Commercial.Operation.Date" "Cumulative.Revenue" "Cumulative.Date" "Fee.Notification.Date" "Fee.Notification.No" "Design.Capacity" "Incharge" "Contractor" "Target.Traffic" "Target.Date" "Actual.Traffic" "Actual.Date" "Cumulative.Revenue.Discounted"
     @1.5 times of single journey rates respectively." 2015-09-01 2016-08-31 " Durg Bypass (Dhamdanaka) ( BOT )  Km 312.780 - NH-53 (Old 5) in Chhattisgarh  " " Durg Bypass (Dhamdanaka)  " 18 "s) " "( BOT ) " 1062300000 2001-12-15 251600000 2013-11-30 2001-12-13 "Sr No. - )" 15000 "NA / 9009995006" "Ravindra Nath Pandey" NA 2001-01-01 15810 2013-11-30 FALSE
"27" "HCM/EME" 480 720 14400 NA " Durg Bypass (Dhamdanaka) ( BOT ) " 1 "Concessional fee for the multiple trips within a day
     and monthly pass for use of section continuously and frequently will be
     @1.5 times of single journey rates respectively." 2015-09-01 2016-08-31 " Durg Bypass (Dhamdanaka) ( BOT )  Km 312.780 - NH-53 (Old 5) in Chhattisgarh  " " Durg Bypass (Dhamdanaka)  " 18 "s) " "( BOT ) " 1062300000 2001-12-15 251600000 2013-11-30 2001-12-13 "Sr No. - )" 15000 "NA / 9009995006" "Ravindra Nath Pandey" NA 2001-01-01 15810 2013-11-30 FALSE
"28" "7 or more Axle" 480 720 14400 NA " Durg Bypass (Dhamdanaka) ( BOT ) " 1 "Concessional fee for the multiple trips within a day
     and monthly pass for use of section continuously and frequently will be
     @1.5 times of single journey rates respectively." 2015-09-01 2016-08-31 " Durg Bypass (Dhamdanaka) ( BOT )  Km 312.780 - NH-53 (Old 5) in Chhattisgarh  " " Durg Bypass (Dhamdanaka)  " 18 "s) " "( BOT ) " 1062300000 2001-12-15 251600000 2013-11-30 2001-12-13 "Sr No. - )" 15000 "NA / 9009995006" "Ravindra Nath Pandey" NA 2001-01-01 15810 2013-11-30 FALSE
"29" "Car/Jeep/Van" 20 30 625 10 " Hattargi ( Public Funded ) " 1 "Monthly Pass for Local non-commercial vehicles: Traffic  Rs.230/- at Radius of  20 Km" 2015-09-01 2016-08-31 " Hattargi ( Public Funded )  Km 537.770 - NH-4 in Karnataka  " " Hattargi - Hirebagewadi  " 22 "s) " "( Public Funded ) " 2422100000 2007-04-28 810700000 2015-02-28 2012-10-26 "Sr No. - SO-2558" NA "Shrishail.S Patil / 9880296883" "M Gopalakrishna Melanta" NA 2014-01-01 31663 2014-10-24 TRUE
"30" "LCV" 35 55 1250 20 " Hattargi ( Public Funded ) " 1 "Monthly Pass for Local non-commercial vehicles: Traffic  Rs.230/- at Radius of  20 Km" 2015-09-01 2016-08-31 " Hattargi ( Public Funded )  Km 537.770 - NH-4 in Karnataka  " " Hattargi - Hirebagewadi  " 22 "s) " "( Public Funded ) " 2422100000 2007-04-28 810700000 2015-02-28 2012-10-26 "Sr No. - SO-2558" NA "Shrishail.S Patil / 9880296883" "M Gopalakrishna Melanta" NA 2014-01-01 31663 2014-10-24 TRUE
"31" "Bus/Truck" 80 120 2680 40 " Hattargi ( Public Funded ) " 1 "Monthly Pass for Local non-commercial vehicles: Traffic  Rs.230/- at Radius of  20 Km" 2015-09-01 2016-08-31 " Hattargi ( Public Funded )  Km 537.770 - NH-4 in Karnataka  " " Hattargi - Hirebagewadi  " 22 "s) " "( Public Funded ) " 2422100000 2007-04-28 810700000 2015-02-28 2012-10-26 "Sr No. - SO-2558" NA "Shrishail.S Patil / 9880296883" "M Gopalakrishna Melanta" NA 2014-01-01 31663 2014-10-24 TRUE
"32" "Upto 3 Axle Vehicle" 80 120 2710 40 " Hattargi ( Public Funded ) " 1 "Monthly Pass for Local non-commercial vehicles: Traffic  Rs.230/- at Radius of  20 Km" 2015-09-01 2016-08-31 " Hattargi ( Public Funded )  Km 537.770 - NH-4 in Karnataka  " " Hattargi - Hirebagewadi  " 22 "s) " "( Public Funded ) " 2422100000 2007-04-28 810700000 2015-02-28 2012-10-26 "Sr No. - SO-2558" NA "Shrishail.S Patil / 9880296883" "M Gopalakrishna Melanta" NA 2014-01-01 31663 2014-10-24 TRUE
"33" "4 to 6 Axle" 125 190 4200 65 " Hattargi ( Public Funded ) " 1 "Monthly Pass for Local non-commercial vehicles: Traffic  Rs.230/- at Radius of  20 Km" 2015-09-01 2016-08-31 " Hattargi ( Public Funded )  Km 537.770 - NH-4 in Karnataka  " " Hattargi - Hirebagewadi  " 22 "s) " "( Public Funded ) " 2422100000 2007-04-28 810700000 2015-02-28 2012-10-26 "Sr No. - SO-2558" NA "Shrishail.S Patil / 9880296883" "M Gopalakrishna Melanta" NA 2014-01-01 31663 2014-10-24 TRUE
"34" "HCM/EME" 125 190 4200 65 " Hattargi ( Public Funded ) " 1 "Monthly Pass for Local non-commercial vehicles: Traffic  Rs.230/- at Radius of  20 Km" 2015-09-01 2016-08-31 " Hattargi ( Public Funded )  Km 537.770 - NH-4 in Karnataka  " " Hattargi - Hirebagewadi  " 22 "s) " "( Public Funded ) " 2422100000 2007-04-28 810700000 2015-02-28 2012-10-26 "Sr No. - SO-2558" NA "Shrishail.S Patil / 9880296883" "M Gopalakrishna Melanta" NA 2014-01-01 31663 2014-10-24 TRUE
"35" "7 or more Axle" 125 230 5115 75 " Hattargi ( Public Funded ) " 1 "Monthly Pass for Local non-commercial vehicles: Traffic  Rs.230/- at Radius of  20 Km" 2015-09-01 2016-08-31 " Hattargi ( Public Funded )  Km 537.770 - NH-4 in Karnataka  " " Hattargi - Hirebagewadi  " 22 "s) " "( Public Funded ) " 2422100000 2007-04-28 810700000 2015-02-28 2012-10-26 "Sr No. - SO-2558" NA "Shrishail.S Patil / 9880296883" "M Gopalakrishna Melanta" NA 2014-01-01 31663 2014-10-24 TRUE
"36" "Car/Jeep/Van" 40 65 1460 20 " Kognoli ( Public Funded ) " 1 "Monthly pass applicable for local
     non-commercial vehicles  distance of 20 km form toll plaza :Rs.230/-" 2015-04-01 2016-03-31 " Kognoli ( Public Funded )  Km 591.240 - NH-4 in Karnataka  " " Maharashtra Border -Belgaum  " 55.24 "s) " "( Public Funded ) " 4261700000 2005-03-05 696200000 2015-02-28 2012-10-26 "Sr No. - SO-2559" NA "Shrishail.S Patil / 9880296883" "Konark Infrastructures Ltd." 35131 2013-10-24 NA 2014-01-01 TRUE
"37" "LCV" 90 140 3125 45 " Kognoli ( Public Funded ) " 1 "Monthly pass applicable for local
     non-commercial vehicles  distance of 20 km form toll plaza :Rs.230/-" 2015-04-01 2016-03-31 " Kognoli ( Public Funded )  Km 591.240 - NH-4 in Karnataka  " " Maharashtra Border -Belgaum  " 55.24 "s) " "( Public Funded ) " 4261700000 2005-03-05 696200000 2015-02-28 2012-10-26 "Sr No. - SO-2559" NA "Shrishail.S Patil / 9880296883" "Konark Infrastructures Ltd." 35131 2013-10-24 NA 2014-01-01 TRUE
"38" "Bus/Truck" 190 290 6460 95 " Kognoli ( Public Funded ) " 1 "Monthly pass applicable for local
     non-commercial vehicles  distance of 20 km form toll plaza :Rs.230/-" 2015-04-01 2016-03-31 " Kognoli ( Public Funded )  Km 591.240 - NH-4 in Karnataka  " " Maharashtra Border -Belgaum  " 55.24 "s) " "( Public Funded ) " 4261700000 2005-03-05 696200000 2015-02-28 2012-10-26 "Sr No. - SO-2559" NA "Shrishail.S Patil / 9880296883" "Konark Infrastructures Ltd." 35131 2013-10-24 NA 2014-01-01 TRUE
"39" "Upto 3 Axle Vehicle" 190 290 6460 95 " Kognoli ( Public Funded ) " 1 "Monthly pass applicable for local
     non-commercial vehicles  distance of 20 km form toll plaza :Rs.230/-" 2015-04-01 2016-03-31 " Kognoli ( Public Funded )  Km 591.240 - NH-4 in Karnataka  " " Maharashtra Border -Belgaum  " 55.24 "s) " "( Public Funded ) " 4261700000 2005-03-05 696200000 2015-02-28 2012-10-26 "Sr No. - SO-2559" NA "Shrishail.S Patil / 9880296883" "Konark Infrastructures Ltd." 35131 2013-10-24 NA 2014-01-01 TRUE
"40" "4 to 6 Axle" 325 485 10750 160 " Kognoli ( Public Funded ) " 1 "Monthly pass applicable for local
     non-commercial vehicles  distance of 20 km form toll plaza :Rs.230/-" 2015-04-01 2016-03-31 " Kognoli ( Public Funded )  Km 591.240 - NH-4 in Karnataka  " " Maharashtra Border -Belgaum  " 55.24 "s) " "( Public Funded ) " 4261700000 2005-03-05 696200000 2015-02-28 2012-10-26 "Sr No. - SO-2559" NA "Shrishail.S Patil / 9880296883" "Konark Infrastructures Ltd." 35131 2013-10-24 NA 2014-01-01 TRUE
"41" "HCM/EME" 325 485 10750 160 " Kognoli ( Public Funded ) " 1 "Monthly pass applicable for local
     non-commercial vehicles  distance of 20 km form toll plaza :Rs.230/-" 2015-04-01 2016-03-31 " Kognoli ( Public Funded )  Km 591.240 - NH-4 in Karnataka  " " Maharashtra Border -Belgaum  " 55.24 "s) " "( Public Funded ) " 4261700000 2005-03-05 696200000 2015-02-28 2012-10-26 "Sr No. - SO-2559" NA "Shrishail.S Patil / 9880296883" "Konark Infrastructures Ltd." 35131 2013-10-24 NA 2014-01-01 TRUE
"42" "7 or more Axle" 390 590 13090 195 " Kognoli ( Public Funded ) " 1 "Monthly pass applicable for local
     non-commercial vehicles  distance of 20 km form toll plaza :Rs.230/-" 2015-04-01 2016-03-31 " Kognoli ( Public Funded )  Km 591.240 - NH-4 in Karnataka  " " Maharashtra Border -Belgaum  " 55.24 "s) " "( Public Funded ) " 4261700000 2005-03-05 696200000 2015-02-28 2012-10-26 "Sr No. - SO-2559" NA "Shrishail.S Patil / 9880296883" "Konark Infrastructures Ltd." 35131 2013-10-24 NA 2014-01-01 TRUE
"43" "Car/Jeep/Van" 70 105 2335 35 " Tundla ( Public Funded ) " 1 NA 2015-04-01 2016-03-31 " Tundla ( Public Funded )  Km 225.000 - NH-2 in Uttar Pradesh  " " Tundla - Makhanpur  " 50.873 "s) " "( Public Funded ) " 3654500000 2009-04-11 1623700000 2015-02-28 2013-02-07 "Sr No. - S.O.336" NA "Sh.Ajay Agrawal / 9826070513" "M/s Eagle Infra India Ltd." NA 2001-01-01 270044 2013-10-31 FALSE
"44" "LCV" 115 170 3770 55 " Tundla ( Public Funded ) " 1 NA 2015-04-01 2016-03-31 " Tundla ( Public Funded )  Km 225.000 - NH-2 in Uttar Pradesh  " " Tundla - Makhanpur  " 50.873 "s) " "( Public Funded ) " 3654500000 2009-04-11 1623700000 2015-02-28 2013-02-07 "Sr No. - S.O.336" NA "Sh.Ajay Agrawal / 9826070513" "M/s Eagle Infra India Ltd." NA 2001-01-01 270044 2013-10-31 FALSE
"45" "Bus/Truck" 235 355 7900 120 " Tundla ( Public Funded ) " 1 NA 2015-04-01 2016-03-31 " Tundla ( Public Funded )  Km 225.000 - NH-2 in Uttar Pradesh  " " Tundla - Makhanpur  " 50.873 "s) " "( Public Funded ) " 3654500000 2009-04-11 1623700000 2015-02-28 2013-02-07 "Sr No. - S.O.336" NA "Sh.Ajay Agrawal / 9826070513" "M/s Eagle Infra India Ltd." NA 2001-01-01 270044 2013-10-31 FALSE
"46" "Upto 3 Axle Vehicle" 260 390 8620 130 " Tundla ( Public Funded ) " 1 NA 2015-04-01 2016-03-31 " Tundla ( Public Funded )  Km 225.000 - NH-2 in Uttar Pradesh  " " Tundla - Makhanpur  " 50.873 "s) " "( Public Funded ) " 3654500000 2009-04-11 1623700000 2015-02-28 2013-02-07 "Sr No. - S.O.336" NA "Sh.Ajay Agrawal / 9826070513" "M/s Eagle Infra India Ltd." NA 2001-01-01 270044 2013-10-31 FALSE
"47" "4 to 6 Axle" 370 560 12390 185 " Tundla ( Public Funded ) " 1 NA 2015-04-01 2016-03-31 " Tundla ( Public Funded )  Km 225.000 - NH-2 in Uttar Pradesh  " " Tundla - Makhanpur  " 50.873 "s) " "( Public Funded ) " 3654500000 2009-04-11 1623700000 2015-02-28 2013-02-07 "Sr No. - S.O.336" NA "Sh.Ajay Agrawal / 9826070513" "M/s Eagle Infra India Ltd." NA 2001-01-01 270044 2013-10-31 FALSE
"48" "HCM/EME" 370 560 12390 185 " Tundla ( Public Funded ) " 1 NA 2015-04-01 2016-03-31 " Tundla ( Public Funded )  Km 225.000 - NH-2 in Uttar Pradesh  " " Tundla - Makhanpur  " 50.873 "s) " "( Public Funded ) " 3654500000 2009-04-11 1623700000 2015-02-28 2013-02-07 "Sr No. - S.O.336" NA "Sh.Ajay Agrawal / 9826070513" "M/s Eagle Infra India Ltd." NA 2001-01-01 270044 2013-10-31 FALSE
